sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
Rhodanese_500_1 1 0.8161605206073753 0.7954545454545454 0.18383947939262468 0.20454545454545459 (naive) 1.0092592592592593 0.5625 164.1421 0:02:44 6581.25 123545.89 6192.97 6292.64 1.98 5.04 133.05 253.69
rhv_20_1 1 0.1590627678826555 0.1656253099276009 0.8409372321173445 0.8343746900723991 (naive) 1.0534188034188035 0.03781979977753059 879.7016 0:14:39 6027.32 123607.13 5873.90 5879.99 1.99 3.44 226.16 2021.40
gpdh_1000_3 1 0.9558363027750783 0.9542906425183268 0.04416369722492175 0.04570935748167315 (naive) 0.9972222222222222 0.8715083798882681 258.7783 0:04:18 6948.79 123536.56 6560.62 6686.17 1.99 5.80 147.72 404.59
tRNA-synt_2b_1000_3 1 0.5397215397215397 0.5134398130112973 0.4602784602784603 0.48656018698870274 (naive) 0.9122055674518201 0.26744186046511625 323.2503 0:05:23 7448.86 123609.94 7422.87 7429.08 1.99 6.27 600.71 1968.78
egf_200_1 1 0.769972983404091 0.7708655332302936 0.23002701659590896 0.2291344667697064 (naive) 1.0985915492957747 0.3235294117647059 133.2337 0:02:13 5432.84 123600.52 5406.78 5413.71 1.99 3.97 114.55 207.22
mofe_1000_0 1 0.8215144230769231 0.8315085158150851 0.17848557692307687 0.16849148418491489 (naive) 1.026272577996716 0.6320754716981132 594.5519 0:09:54 8455.91 123610.08 8066.50 8161.03 1.99 7.38 209.97 1293.78
gluts_200_0 1 0.9393157894736842 0.9423412006969745 0.060684210526315785 0.05765879930302553 (naive) 1.0170212765957447 0.7381974248927039 190.3114 0:03:10 6145.42 123536.18 5756.89 5942.20 1.99 3.86 162.69 376.81
myb_DNA-binding_200_3 1 0.9519038076152304 0.9405940594059405 0.04809619238476959 0.05940594059405946 (naive) 1.0 0.8035714285714286 133.5424 0:02:13 5509.77 123661.75 5122.41 5216.49 1.99 4.26 143.93 234.55
HLH_500_1 1 0.9434571890145396 0.9434571890145396 0.056542810985460434 0.056542810985460434 (naive) 1.0 0.8690476190476191 140.1660 0:02:20 5949.78 123479.46 5554.28 5682.39 1.99 4.65 106.10 242.26
oxidored_q6_100_3 1 0.937984496124031 0.9453125 0.06201550387596899 0.0546875 (naive) 1.0140350877192983 0.8721804511278195 245.8202 0:04:05 5880.42 123543.24 5854.79 5860.96 1.99 3.52 185.01 564.52
DMRL_synthase_1000_1 1 0.9324232081911262 0.9052352551358516 0.06757679180887377 0.09476474486414843 (naive) 0.945054945054945 0.7455621301775148 173.8161 0:02:53 7202.39 123607.24 6797.03 6898.87 1.99 5.91 144.06 296.46
cryst_20_3 1 0.8940378638033343 0.897334089619966 0.10596213619666572 0.10266591038003403 (naive) 1.0 0.6574585635359116 327.4170 0:05:27 5396.36 123600.17 5008.03 5193.30 1.99 3.48 201.14 753.97
sodcu_1000_2 1 0.930171277997365 0.9341713529606351 0.06982872200263501 0.06582864703936486 (naive) 1.0118343195266273 0.7951807228915663 190.6503 0:03:10 7564.75 123481.94 7175.93 7275.79 1.99 5.19 147.23 328.25
KAS_20_0 1 0.37371620205407674 0.4805929919137466 0.6262837979459233 0.5194070080862534 (naive) 1.363861386138614 0.0375 548.8890 0:09:08 5825.76 123602.00 5438.83 5564.07 1.99 3.40 219.61 1267.99
uce_50_3 1 0.895959595959596 0.8856312970863212 0.10404040404040404 0.11436870291367884 (naive) 0.9891304347826086 0.5301204819277109 227.2213 0:03:47 5617.12 123730.00 5228.54 5322.80 1.99 4.07 165.33 435.51
DMRL_synthase_500_3 1 0.9085324232081912 0.8849734042553191 0.09146757679180884 0.11502659574468088 (naive) 0.9615384615384616 0.6804733727810651 166.5696 0:02:46 6614.48 123607.31 6225.32 6350.98 1.99 5.00 128.56 255.53
msb_20_2 1 0.8387404580152672 0.8287240729101194 0.1612595419847328 0.1712759270898806 (naive) 1.0063291139240507 0.496551724137931 292.7538 0:04:52 5424.08 123479.20 5035.64 5153.84 1.99 4.08 203.80 647.74
rhv_1000_2 1 0.6533955614820459 0.6428035982008995 0.3466044385179541 0.3571964017991005 (naive) 0.9850427350427351 0.3481646273637375 272.9959 0:04:32 7274.92 123600.37 6886.37 6980.58 1.99 5.46 169.93 521.46
GEL_1000_3 1 0.7512437810945274 0.7308809293320426 0.24875621890547261 0.26911907066795737 (naive) 1.0133333333333334 0.4383561643835616 160.4843 0:02:40 6677.12 123536.58 6288.21 6390.26 1.98 5.57 113.10 244.67
ghf13_50_0 1 0.4833505913128781 0.496056826444432 0.5166494086871218 0.503943173555568 (naive) 1.1693290734824282 0.1035653650254669 498.2571 0:08:18 6503.72 123668.58 6116.86 6215.66 1.99 4.04 205.07 1107.15
cryst_50_0 1 0.8909296411415654 0.8959931798806479 0.10907035885843464 0.10400682011935214 (naive) 1.0208333333333333 0.6132596685082873 250.5674 0:04:10 5475.12 123604.66 5086.32 5211.14 1.99 3.71 171.86 491.55
ghf5_500_1 1 0.6799116997792495 0.6671480144404333 0.3200883002207505 0.33285198555956674 (naive) 0.9787234042553191 0.37275064267352187 326.5292 0:05:26 7328.27 123602.98 6940.46 7034.59 1.98 5.87 212.19 739.77
hla_500_3 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 171.9861 0:02:51 6734.86 123602.03 6346.97 6534.45 1.99 4.52 161.32 332.43
